user@ubunt:~/myservice$ docker compose logs myservice | grep -E "(Cache HIT|Cache MISS|Cache SET)" | tail -20
myservice-1  | tskv	timestamp=2026-05-07T09:43:59.995019	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=f75673006d7df1b6586d49bcbf25516d	span_id=64b43ef3011bdb2d	link=ae4b71b2f1404c7a63c8e8dd8db7002f	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:43:59.999216	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=9b0fd9989658fbbdd2cb8d06705a6463	span_id=70ae949564c08c34	link=f6b58362f7e5dc4e40a70bc60c37cadf	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:43:59.999842	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=bc74ab50141fc82ac9b036b00aef1617	span_id=5ccda2f08da43ce9	link=128a39c4aa617f68d1139db7499baebf	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.000389	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=2f93686572d18a122d766ba257b36aca	span_id=8b1bdb77fa3a3ad2	link=5f1b964011dc2451c8c154cbfab5b516	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.000938	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=35ce231448e22f8d6bd9afad5de78468	span_id=091e7488fa9b1bac	link=bd419ea0b717636d645f0a4a793f7358	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.003061	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=39c74ff625c54305425573d8cfce772f	span_id=81251a644bc7c731	link=7e817be4c995a1e59a8f94fe0206b0ed	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.004081	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=8ac5e5ad04fdb8498451f9c0101d6c78	span_id=69c832d33c866d48	link=a5ad6fb3ab211c270c53d217476a5bd1	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.005565	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=5e3e44b3b6cddaf381f11844dce591d4	span_id=988f17d2069fff2f	link=9e285afaa2e4dae5f3c66b02454e7999	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.005768	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=7fc81d40a4b25772e01e68fe1bec721d	span_id=4bbb69c6a5dd4c86	link=21178c2aaee35f41888fb7c05f57a90c	text=Cache SET: projects:all TTL=300s
myservice-1  | tskv	timestamp=2026-05-07T09:44:00.009350	level=INFO	module=Set ( src/cache/cache_manager.cpp:38 )	trace_id=192ef18adf7aa552199cdc622cad66df	span_id=e32b05d3512f8f0d	link=e6e1c66732f57d1619eda7f3d1b607fe	text=Cache SET: projects:all TTL=300s
user@ubunt:~/myservice$ docker compose logs myservice | grep "Rate limit exceeded"
user@ubunt:~/myservice$ docker compose logs myservice | grep "Rate limit exceeded"



-------

user@ubunt:~/myservice$ docker compose logs myservice | grep -E "(Cache HIT|Cache MISS|Cache SET)" | tail -20
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.420945	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=442172ffc08d738d290eb3ee7ba5f439	span_id=11d547cc9735f130	link=d4db0e17fc6733823bdcad0ac0fb9af0	text=Cache HIT: projects:all
